GO ID	Freq
GO:0007219	3
GO:0007224	3
GO:0007271	3
GO:0007597	3
GO:0007602	3
GO:0008203	3
GO:0009063	3
GO:0009185	3
GO:0009743	3
GO:0009746	3
GO:0009952	3
GO:0009991	3
GO:0010038	3
GO:0010631	3
GO:0010720	3
GO:0010721	3
GO:0010765	3
GO:0014074	3
GO:0015833	3
GO:0015849	3
GO:0015980	3
GO:0016055	3
GO:0016125	3
GO:0016558	3
GO:0019362	3
GO:0022409	3
GO:0022898	3
GO:0030072	3
GO:0030193	3
GO:0030199	3
GO:0030282	3
GO:0030510	3
GO:0030879	3
GO:0030900	3
GO:0031023	3
GO:0031348	3
GO:0031589	3
GO:0032102	3
GO:0032204	3
GO:0032400	3
GO:0032401	3
GO:0032402	3
GO:0032409	3
GO:0032508	3
GO:0032835	3
GO:0032836	3
GO:0033002	3
GO:0034330	3
GO:0034599	3
GO:0034763	3
GO:0034764	3
GO:0034766	3
GO:0034767	3
GO:0036092	3
GO:0042886	3
GO:0043266	3
GO:0043271	3
GO:0043523	3
GO:0043542	3
GO:0043648	3
GO:0044242	3
GO:0044262	3
GO:0044264	3
GO:0044458	3
GO:0044770	3
GO:0044772	3
GO:0045017	3
GO:0045104	3
GO:0045190	3
GO:0045216	3
GO:0045778	3
GO:0046474	3
GO:0046488	3
GO:0046496	3
GO:0046834	3
GO:0048546	3
GO:0048565	3
GO:0048639	3
GO:0048644	3
GO:0048645	3
GO:0048839	3
GO:0048864	3
GO:0050678	3
GO:0050728	3
GO:0050769	3
GO:0050796	3
GO:0050804	3
GO:0050818	3
GO:0050863	3
GO:0050870	3
GO:0050890	3
GO:0051047	3
GO:0051098	3
GO:0051147	3
GO:0051235	3
GO:0051480	3
GO:0051648	3
GO:0051875	3
GO:0051904	3
GO:0051905	3
GO:0051924	3
GO:0051962	3
GO:0055006	3
GO:0055008	3
GO:0055013	3
GO:0055017	3
GO:0055074	3
GO:0055076	3
GO:0060191	3
GO:0060193	3
GO:0060249	3
GO:0060415	3
GO:0060541	3
GO:0061041	3
GO:0061180	3
GO:0061326	3
GO:0061615	3
GO:0061620	3
GO:0061621	3
GO:0061718	3
GO:0065002	3
GO:0071214	3
GO:0071804	3
GO:0071805	3
GO:0072080	3
GO:0072132	3
GO:0072163	3
GO:0072164	3
GO:0072329	3
GO:0072503	3
GO:0072507	3
GO:0072524	3
GO:0072662	3
GO:0072663	3
GO:0080171	3
GO:0086014	3
GO:0086026	3
GO:0086066	3
GO:0090130	3
GO:0090132	3
GO:0090276	3
GO:0097193	3
GO:0098911	3
GO:0198738	3
GO:1900046	3
GO:1900180	3
GO:1901215	3
GO:1901342	3
GO:1901381	3
GO:1901617	3
GO:1902305	3
GO:1902652	3
GO:1903037	3
GO:1903039	3
GO:1903532	3
GO:1904064	3
GO:1904888	3
GO:1990267	3
GO:2000021	3
GO:2000027	3
GO:2000377	3
GO:0001558	4
GO:0001667	4
GO:0001754	4
GO:0001942	4
GO:0001958	4
GO:0002028	4
GO:0002088	4
GO:0002237	4
GO:0002526	4
GO:0002673	4
